Loan ID,Borrower ID,Security value,Loan amount,Loan to value,Maturity,Your investment,Percentage of loanbook,Loan status,Loan Risk Category,Truncated Loan ID,Loan Parts in Loan,Original maturity date,Maturity date extended
9224661 c,8711007,"£1,071,952","£50,000",48.98%,27 Dec 2024,£2.925000,0.05%,Extended (No ICF),2,9224661,6,27/12/2024,0
9749899 b,8420655,"£1,600,000","£45,000",42.19%,04 Apr 2025,£2.632500,0.05%,Live,2,9749899,2,04/04/2025,0
9190881,8404433,"£410,000","£205,000",50.00%,07 Mar 2025,£11.992500,0.21%,Live,2,9190881,1,07/03/2025,0
9779687 b,8404433,"£600,000","£100,000",50.00%,30 Dec 2024,£5.850000,0.10%,Live,2,9779687,3,30/12/2024,0
9333702,8236782,"£240,000","£120,000",50.00%,04 Apr 2025,£7.020000,0.13%,Live,2,9333702,1,04/04/2025,0
9573237,8939434,"£440,000","£220,000",50.00%,16 Sep 2024,£12.870000,0.23%,Live,2,9573237,1,16/09/2024,0
9184758,8721233,"£1,300,000","£600,000",46.15%,16 Dec 2024,£35.100000,0.63%,Live,2,9184758,1,16/12/2024,0
9463679,8388533,"£480,000","£170,000",50.00%,08 Apr 2025,£9.945000,0.18%,Live,2,9463679,3,08/04/2025,0
9280923,8568034,"£610,000","£100,000",49.59%,08 Apr 2025,£5.850000,0.10%,Live,2,9280923,3,08/04/2025,0
9387814,8198507,"£380,000","£190,000",50.00%,08 Mar 2025,£11.115000,0.20%,Live,2,9387814,1,08/03/2025,0
9680056 b,8231021,"£1,900,000","£85,000",44.74%,26 Sep 2024,£4.972500,0.09%,Extended (No ICF),2,9680056,3,26/06/2024,92
9455066 f,8587271,"£980,000","£27,000",49.95%,22 Dec 2024,£1.579500,0.03%,Extended (No ICF),2,9455066,6,22/12/2024,0
9443879,8966606,"£260,000","£117,500",45.19%,11 Apr 2025,£6.873750,0.12%,Live,2,9443879,1,11/04/2025,0
9810145,8535646,"£1,100,000","£546,000",49.64%,11 Apr 2025,£31.941000,0.57%,Live,2,9810145,1,11/04/2025,0
